madde_id,madde,on_taki
503,düşük yapmak,
504,düşük tutmak,
508,düşüncesini açmak,
509,düşüncesini okumak,
510,düşünceye dalmak,
511,düşünceye varmak,
519,düşüncesizlik etmek,
529,düşünüp (veya düşünmek) taşınmak,
530,"düşün düşün, boktur işin",
556,düven sürmek (veya dövmek),
565,düz duvara tırmanmak,
566,düze inmek,
591,düzen kurmak,
592,düzen vermek (veya düzene koymak veya düzene sokmak),
659,e mi!,
666,ebe olmak,
676,ebediyete intikal etmek,
706,ecel aman verirse,
707,"ecel geldi cihana, baş ağrısı bahane",
708,ecele çare bulunmaz,
709,eceli gelen (veya yaklaşan) köpek cami (veya mescit) duvarına (veya avlusuna) siyer (veya işer),
710,eceli gelmek,
711,eceline susamak,
712,eceliyle ölmek,
716,ecinniler top oynuyor,(bir yerde) 
718,ecir sabır dilemek,
734,eda etmek,
746,edebiyat yapmak,
754,edep etmek,
755,edep yahu,
756,edebi edepsizden öğren,
757,edebini takınmak,
758,edeptir söylemesi,
818,efelik etmek,
821,efendi gibi yaşamak,
822,efendiden bir adam,
823,"efendim nerede, ben nerede?",
824,efendime söyleyeyim,
831,efil efil esmek,
832,efil efil etmek,
834,efkâr basmak,
835,efkâr dağıtmak,
836,efkâr etmek,
837,efkârı dağılmak,
839,ağzından kapmak,
840,ağzından lakırtı (veya laf) almak (veya çekmek),
841,ağzından lokmasını almak,
842,ağzından söz (veya laf veya lakırtı) eksik etmemek,
843,ağzından yel alsın!,
844,ağzını açacağına gözünü aç,
845,ağzını açıp gözünü yummak,
846,ağzını aramak (veya yoklamak),
847,ağzını bağlamak,
848,ağzını bıçak açmamak,
849,ağzını bırakıp kıçıyla (veya bir tarafıyla) gülmek,
850,ağzını bozmak,
851,ağzını burnunu çarşamba pazarına (veya çanağına) çevirmek,
852,ağzını burnunu dağıtmak (veya kırmak veya parçalamak),
853,ağzını dilini bağlamak,
854,ağzını havaya (veya poyraza) açmak,
855,ağzını hayra aç!,
856,ağzını kapamak (veya kilitlemek),
857,ağzını kapamak,(birinin) 
858,ağzını kiraya vermek,
859,ağzını koklamak,
860,ağzını kullanmak (veya satmak),
861,ağzını mühürlemek,
862,ağzını öpeyim (veya seveyim),
863,ağzını sıkı (veya pek) tutmak,
864,ağzını tıkamak,(birinin) 
865,ağzını toplamak,
866,ağzını tutmak,
867,ağzının içine bakmak,(birinin) 
868,ağzının içine baktırmak,
869,ağzının içine girmek,(birinin) 
870,ağzının içi yangın yerine dönmek,
871,ağzının kâhyası olmak,
872,ağzının kaşığı (veya kalıbı veya lokması) olmamak,(bir şey birinin) 
873,ağzının kokusunu çekmek,
874,ağzının mührü ile,
875,ağzının payını (veya ölçüsünü) almak,
876,ağzının payını (veya ölçüsünü veya kayarını) vermek,
877,ağzının perhizi yok,
878,ağzının tadını bilmek,
879,ağzının suyu akmak,
880,ağzıyla içmesini bilmek,
881,ağzıyla kuş tutsa...,
885,ağız birliği etmek,
889,ağızdan ağıza dolaşmak (veya geçmek veya yayılmak veya intikal etmek),
894,ağız kalabalığına getirmek,
898,ağzının kokusunu çekmek,
913,ağzının tadı bozulmak (veya kaçmak),
914,ağzının tadını kaçırmak,
927,"ağlama ölü için, ağla deli için",
928,ağlamak para etmez,
929,ağlamakla yâr ele girmez,
930,ağlamayan çocuğa meme vermezler,
931,"ağlar gözden, sahte sözden kendini sakın",
932,ağlayanın malı gülene hayretmez,
933,ağlayıp da gözden mi olayım?,
934,ağlayıp sızlamak,
935,"ağlarsa anam ağlar, gayrısı yalan ağlar",
937,ağlamaklı olmak,
939,ağlamalı olmak,
949,ağlatan gülmez,
962,ağrısı tutmak,
963,"ağrılarda göz ağrısı, her kişinin öz ağrısı",
971,ağrısız baş mezarda olur,
972,ağrısız başına kaşbastı bağlamak,
980,ağustosta beyni kaynayanın zemheride kazanı kaynar,
981,ağustosta gölge kovan zemheride karnın ovar,
982,"ağustosun yarısı yaz, yarısı kıştır",
988,ağzı açık ayran delisi (veya budalası),
989,ağzı açık (veya bir karış açık) kalmak,
1001,ah almak,
1002,ah alan onmaz,
1003,ah çekmek,
1004,ah etmek,
1005,ah yerde kalmaz,
1006,ahı çıkmak,
1007,ahı tutmak,
1008,ahı yerde kalmamak,
1009,ahını almak,
1010,ahını yerde (veya birinde) koymamak (veya bırakmamak),
1019,ahbap çıkmak,
1020,ahbap kusuruna bakan ahbapsız kalır,
1021,ahbap olmak,
1024,ahbaplık etmek,
1033,ahenk almak,
1034,ahenk kurmak,
1035,ahenk sağlamak,
1036,ahenk vermek,
1037,ahenk yapmak,
1038,ahengi bozulmak,
1053,ahıra çekmek,
1054,ahıra çevirmek,
1066,ahde vefa,
1067,ahde vefa etmek,
1074,ahkâm çıkarmak,
1075,ahkâm kesmek,
1076,ahkâm yürütmek,
1094,ahlaksızlık etmek,
1100,ahlatın iyisini (dağda) ayılar yer,
1104,ahmak gelin yengeyi halayığı sanır,
1105,ahmak misafir ev sahibini ağırlar,
1106,ahmak yerine koymak,
1107,"ahmağa yüz, abdala söz vermeye gelmez",
1117,ahireti boylamak,
1118,ahiretini yapmak (veya zenginleştirmek),
1119,ahirette on parmağı yakasında olmak,
1128,ahtapot gibi,
1130,ahu gibi,
1160,ait olmak,
1169,ak akçe kara gün içindir,
1170,ak dediğine kara demek,(birinin) 
1171,ak don kara don geçitte belli olur,
1172,"ak gün ağartır, kara gün karartır",
1173,ak koyunu gören içi dolu yağ sanır,
1174,ak koyunun kara kuzusu da olur,
1175,ak köpeğin pamuk pazarına zararı vardır,
1176,ak koyun kara koyun geçit başında belli olur,
1177,ak sakaldan yok sakala gelmek,
1178,akı ak karası kara,
1179,akı karası geçitte belli olur,
1180,akım derken bokum demek,
1181,akla karayı seçmek,
1203,akamete uğramak,
1206,akar edinmek,
1212,akarsu çukurunu kendi kazır,
1213,akarsu gibi,
1214,akarsu pislik tutmaz,
1215,"akarsuya inanma, eloğluna dayanma",
1271,akıbetine uğramak,
1277,akıl akıldan üstündür,
1278,"akıl akıl, gel çengele takıl",
1279,akıl almak,
1280,akıl alır gibi değil,
1281,akıl almamak,
1282,akıl bırakmamak,
1283,akıl danışmak,
1284,akıl durdurmak,
1285,akıl erdirememek (veya ermemek),
1286,akıl erdirmek,
1287,akıl ermek,
1288,akıl etmek,
1289,akıl havsala almamak,
1290,akıl için yol (veya tarik) birdir,
1291,akıl işi değil,
1292,akıl kişiye sermayedir,
1293,akıl öğretmek,
1294,akıl para ile satılmaz,
1295,akıl sır ermemek,
1296,akıl terelelli (olmak),
1297,"akıl var, izan (veya mantık veya yakın) var",
1298,akıl vermek,
1299,akıl yaşta değil baştadır,
1300,akıl yürütmek,
1301,akılda kalmak,(bir şey) 
1302,akılda tutmak,
1303,akıldan çıkarmak,
1304,akıldan çıkmak,(bir şey) 
1305,"akılları pazara çıkarmışlar, herkes yine kendi akılını almış (veya akıllar gelin olmuş, herkes kendininkini beğenmiş)",
1306,akla (veya akıllara) durgunluk (veya şaşkınlık) vermek,
1307,akla fenalık vermek,
1308,akla gelmek,
1309,akla gelmemek,
1310,akla gelmeyen başa gelir,
1311,akla hayale gelmemek,
1312,akla sığar gibi,
1313,akla sığmamak,
1314,aklı almamak,
1315,aklı başa yaş getirir,
1316,aklı başına gelmek,
1317,aklı başından gitmek,
1318,aklı başka yerde olmak,
1319,aklı bir (veya beş) karış yukarıda (veya havada) olmak,
1320,aklı bir yerde olmak,
1321,aklı bokuna karışmak,
1322,aklı çıkmak,
1323,aklı dağılmak,
1324,aklı durmak,
1325,aklı ermek,
1326,aklı fikri bir şeyde olmak,
1327,aklı gitmek,
1328,aklı kalmak,
1329,aklı karışmak,
1330,aklı kesmek,
1331,aklı kesmemek,
1332,aklı sonradan gelmek,
1333,aklı takılmak,
1334,aklı yatmak,
1335,aklı zıvanadan çıkmak,
1336,aklıma gelen başıma geldi,
1337,aklın süzgecinden geçirmek,
1338,aklın yolu birdir,
1339,aklına bir şey gelmek,
1340,aklına bir şey gelmesin,
1341,aklına düşmek,
1342,aklına esmek,
1343,"aklına geleni işleme, her ağacı taşlama",
1344,aklına geleni söylemek,
1345,aklına geleni yapmak,
1346,aklına gelmek,
1347,aklına getirmek,(birinin) 
1348,aklına getirmek,(kendi) 
1349,aklına koymak,
1350,aklına koymak,(birinin) 
1351,aklına mukayyet olmak,
1352,aklına sığdırmak,
1353,aklına sığmamak,
1354,aklına şaşayım (veya şaşarım),
1355,aklına takmak,
1356,aklına turp sıkayım,
1357,aklına tüküreyim,
1358,aklına uymak,
1359,aklına yatmak,
1360,aklına yelken etmek,
1361,aklında kalmak,
1362,aklında olsun (veya kalsın!),
1363,aklında tutmak,(bir şeyi) 
1364,aklından çıkarmamak,
1365,aklından çıkmak,
1366,aklından geçirmek,
1367,aklından geçmek,
1368,aklından zoru olmak,
1369,aklını başına almak (veya toplamak veya devşirmek),
1370,aklını başından almak,
1371,aklını başka yere vermek,
1372,aklını (bir şeyle) bozmak,
1373,aklını çalmak,(bir şey birinin) 
1374,aklını çelmek,(birinin) 
1375,aklını devşirmek,
1376,aklını kaçırmak,
1377,aklını karıştırmak,
1378,aklını kullanmak,
1379,aklını oynatmak,
1380,aklını peynir ekmekle yemek,
1381,aklını şaşırmak,
1382,aklını takmak,
1383,aklını yormak,
1384,aklının ayarını bozmak,
1385,aklının bir köşesine yazmak,
1386,aklının köşesinden geçmemek,
1387,aklının terazisi bozulmak,
1388,aklının ucundan bile geçirmemek,
1389,aklınla bin yaşa,
1408,akıllım,
1409,akıllı düşününceye kadar deli çocuğunu (veya oğlunu) everir,
1410,akıllı geçinmek,
1411,akıllı köprü arayıncaya dek deli suyu geçer,
1412,akıllı olmak,
1415,akıllılık etmek,
1420,akılsız başın cezasını (veya zahmetini) ayaklar çeker,
1421,akılsız iti (veya köpeği) yol kocatır,
1423,akılsızlık etmek,
1431,akın etmek,
1436,akıncılık etmek (veya yapmak),
1440,akıntıya kapılmak,
1441,akıntıya (veya akıntıya karşı) kürek çekmek,
1461,akideyi bozmak (veya akidesi bozulmak),
1469,akil baliğ olmak,
1471,akim kalmak,
1473,akis uyandırmak,
1514,akacak kan damarda durmaz,
1515,akan sular durmak,
1516,"akara kokara bakma, çuvala girene bak",
1517,akarı kokarı olmamak,
1518,akarına bırakmak,
1519,akıp gitmek,
1520,akmasa da damlar,
1531,akort etmek,
1545,akraba çıkmak,
1546,akraba olmak,
1567,aksak eşekle yüksek dağa çıkılmaz,
1598,aksi gibi,
1599,aksi şeytan,
1600,aksi tesadüf,
1607,aksilik çıkmak,
1608,aksilik etmek,
1609,aksiliği tutmak,
1610,aksiliği üstünde (olmak),
1624,akşam ahıra sabah çayıra,
1625,akşama kadar,
1626,akşama kalmak,
1627,"akşama karşı gitme, tana karşı yatma",
1628,akşamı akşam etmek,
1629,akşamı bulmak (veya etmek),
1630,akşamı zor etmek,
1631,akşamın hayrından sabahın şerri iyidir,
1632,akşamın işini sabaha (veya yarına) bırakma,
1633,"akşam ise yat, sabah ise git",
1634,akşamlar (veya akşamışerifler) hayrolsun!,
1640,akşamcılık etmek,
1676,aktarma yapmak,
1686,aktif rol oynamak,
1706,aktüalitesini kaybetmek,
1714,aküsü bitmek,
1731,"al ile aslan tutulur, güç ile sıçan tutulmaz",
1733,al elmaya taş atan çok olur,
1734,al giymedim ki alınayım,
1735,al gömlek gizlenemez,
1736,al kanlara boyanmak,
1737,al kiraz üstüne kar yağmış,
1738,"alı al, moru mor",
1739,"alı alına, moru moruna",
1742,ala keçi her vakit püsküllü oğlak doğurmaz,
1748,alabanda etmek,
1749,alabanda vermek,
1750,alabandayı yemek,
1757,alabora olmak,
1760,alaca düşmek,
1765,alacak verecekle ödenmez,
1766,alacağı olmak,
1767,alacağı olsun!,
1768,alacağım olsun da alakargada olsun,
1769,alacağına saymak (veya tutmak),
1770,"alacağına şahin, vereceğine karga (veya kuzgun)",
1774,alacaklı çıkmak,
1775,alacaklı olmak,
1805,alaka (veya alakasını) çekmek (veya toplamak veya uyandırmak),
1806,alaka duymak,
1807,alakayı (veya alakasını) kesmek,
1809,alakadar etmek,
1810,alakadar olmak,
1833,alan talan etmek,
1834,alan talan olmak,
1837,alarga durmak,
1838,alarga etmek,
1839,alarga gitmek,
1840,alargada durmak (veya tutmak),
1841,alargadan seyretmek,
1843,alarma geçmek,
1865,alaya çıkmak,
1867,alay etmek,
1868,alay geçmek,
1869,alay gibi gelmek,(bir şey birine) 
1870,alaya almak,
1871,alaya bozmak,
1872,alaya vurmak,
1897,albeni vermek,
1898,albenisi olmak,
1906,alçacık dağları ben yarattım demek,
1907,alçacık eşeğe herkes biner,
1909,"alçak uçan yüce konar, yüce konan alçak uçar",
1910,alçak yer yiğidi hor gösterir,
1911,alçak yerde tepecik kendisini dağ sanır,
1912,"alçak yerde yatma sel alır, yüksek yerde yatma yel alır",
1913,alçaktan uçmak,
1935,alçıya almak (veya koymak),
1960,aldırış etmemek,
1981,âlem yapmak,
1982,"âleme verir talkını (veya telkini), kendi yutar salkımı",
1983,âlemi var mı?,(... etmenin) 
1984,âlemin ağzı torba değil ki büzesin,
1986,alem olmak,
2000,alesta beklemek,
2001,alesta durmak,
2002,alesta tutmak,
2004,alet etmek,
2005,"alet işler, el övünür",
2006,alet olmak,
2011,alev almak,
2012,alev bacayı (veya saçağı) sarmak,
2013,alev gibi parlamak,
2026,aleyhe dönmek,
2027,aleyhinde olmak,
2028,aleyhine dönmek,(birinin) 
2029,aleyhinde (veya aleyhine) söylemek (veya bulunmak),
2030,aleyhe dönmek,(bir şey) 
2031,aleyhine olmak,
2032,aleyhte olmak,
2064,eflake ser çekmek,
2069,"efradını cami, ağyarını mâni",
2072,efsane olmak,
2100,egzersiz yapmak,
2131,eğilen baş kesilmez,
2132,eğilip bükülmek,
2156,eğitim almak,
2157,eğitim vermek,
2200,eğreti almak,
2201,eğreti ata binen tez iner,
2202,eğreti kuyruk tez kopar,
2203,eğreti oturmak,
2204,eğreti vermek,
2205,eğretiye almak,
2210,eğri (veya eğri gözle) bakmak,
2211,eğri gemi doğru sefer,
2212,eğri oturup doğru konuşalım,
2213,eğrisi doğrusuna gelmek,
2214,eğriye eğri doğruya doğru,
2236,ehemmiyet vermek,
2240,ehil olmak,
2263,ehven kurtulmak,
2267,ejderha gibi,
2269,ejder gibi,
2272,ek bent olmak,
2273,ekini belli etmemek,
2333,"ek tohumun hasını, çekme yiyecek yasını",
2334,"eken biçer, konan göçer",
2335,ekip biçmek,
2336,ekmeden biçilmez,
2337,ekmediği yerden biter,
2339,ekmek aslanın ağzında,
2340,ekmek çarpsın!,
2341,ekmek elden su gölden,
2342,ekmek istemez su istemez,
2343,ekmek öpmek,
2344,"ekmeği ekmekçiye ver, bir ekmek de üste ver",
2345,"ekmeğin büyüğü, hamurun çoğundan olur",
2346,ekmeğinden etmek,
2347,ekmeğinden olmak,
2348,ekmeğine göz koymak (veya dikmek),
2349,ekmeğine yağ sürmek,
2350,ekmeğini çıkarmak,
2351,ekmeğini eline almak,
2352,ekmeğini kana doğramak,
2353,ekmeğini kazanmak,
2354,ekmeğini taştan çıkarmak,
2355,ekmeğini yemek,
2356,ekmeğiyle oynamak,(birinin)
2357,ekmekle oynayanın ekmeğiyle oynanır,
2358,ekmekten kaşık olur ama her yoğurdun hakkına değil,
2378,ekol kurmak,
2386,ekonomi yapmak,
2389,ekonomik davranmak,
2413,eksik çıkmak,
2414,eksik doğmak,
2415,eksik etmemek,
2416,eksik gelmek,
2417,eksik olma!,
2418,eksik olmamak,
2419,eksik olmasın,
2420,eksik olsun,
2424,eksik gedik kapamak,
2437,eksiltmeye çıkarmak,
2453,dinsizin hakkından imansız gelir,
2456,dibe vurmak,
2457,dibi görünmek,(bir şeyin) 
2458,dibi görünmeyen sudan geçme,
2459,dibi kırmızı mumla (veya bal mumuyla) mı çağırdım,
2460,dibine darı ekmek,
2461,dibine kadar,
2462,dibini boylamak,(bir şeyin) 
2463,dibini bulmak,(bir şeyin) 
2464,dibini kurcalamak (veya karıştırmak),
2465,dibini tutmak,
2492,dipnot düşmek,
2494,"dipsiz kile, boş ambar",
2500,direk gibi,
2505,direksiyon kırmak,
2506,direksiyon sallamak,
2507,direksiyona geçmek,
2510,direktif almak,
2511,direktif vermek,
2539,dirhemle söylemek (veya konuşmak),
2542,diri kalmak,
2546,diriğ etmek,
2573,dirlik yüzü görmemek,
2578,dirsek çevirmek,
2579,dirsek çürütmek,
2589,disipline girmek,
2599,diskalifiye etmek,
2600,diskalifiye olmak,
2609,diskur geçmek (veya çekmek),
2620,diş çıkarmak,
2621,diş açmak,
2622,diş bilemek,(birine) 
2623,diş geçirmek,
2624,diş geçirememek,(birine) 
2625,diş gıcırdatmak,
2626,diş göstermek,
2627,dişe dokunmak,
2628,dişe dokunur (olmak),(bir şey) 
2629,dişinden tırnağından artırmak,
2630,dişine göre,
2631,dişine vurmak,
2632,dişine kestirmek,
2633,dişini sıkmak,
2634,dişini sökmek,(birinin) 
2635,dişini tırnağına takmak,
2636,dişinin kovuğuna bile gitmemek,
2637,dişleri dökülmek,
2638,dişten tırnaktan artırmak,
2705,divan durmak,
2708,divane olmak,
2709,divanesi olmak,
2710,divaneye dönmek,
2748,diyalize girmek,
2750,diyalog kurmak,
2768,diz çökmek,
2769,dize gelmek,
2770,dize getirmek,
2771,dizi (veya dizinin) dibinden ayrılmamak,
2772,dizini (veya dizlerini) dövmek,
2773,dizleri kesilmek (veya tutmamak),
2774,dizlerine kapanmak,(birinin) 
2775,dizlerine kara su inmek,
2776,dizlerinin bağı çözülmek,
2805,dizgin boşaltmak,
2806,dizgin vurmak,
2807,dizgine gelmek,
2808,dizginini çekmek,
2809,dizginini kesmek,(birinin)
2810,dizginleri (veya dizginlerini) ele almak,
2811,dizginleri ele vermek,
2812,dizginleri gevşetmek,
2813,dizginleri koparmak,
2814,dizginleri salıvermek,
2865,doğaçlama yapmak,
2871,doğal olarak,
2897,"doğan anası olma, doğuran anası ol",
2898,doğduğuna bin pişman,
2899,doğduğuna pişman etmek,
2900,doğduğuna pişman olmak,
2901,doğmadık çocuğa don biçilmez,
2913,doğru bildiği yoldan ayrılmamak (veya şaşmamak),
2914,doğru bulmak,
2915,doğru çıkmak,
2916,doğru doğru dosdoğru,
2917,doğru durmak,
2918,doğru oturmak,
2919,doğru söyleyeni dokuz köyden kovarlar,
2920,doğru söz acıdır,
2921,doğru söz yemin istemez,
2922,doğrunun yardımcısı Allah'tır,
2958,doğum yapmak,
2991,doksan kapının ipini çekmek,
2996,doktor doktor gezmek (veya dolaşmak),
2997,doktora görünmek,
2999,doktora yapmak,
3019,dokunca görmek,
3036,dokunulmazlığını kaldırmak,
3047,dokuz at bir kazığa bağlanmaz,
3048,dokuz ayın çarşambası bir araya gelmek,
3049,dokuz doğurmak,
3050,dokuz körün bir değneği,
3051,dokuz köyden kovulmuş,
3052,dokuz yorgan eskitmek (veya paralamak),
3088,dolanıp durmak,
3092,dolap çevirmek (veya döndürmek),
3093,dolaba girmek (veya gelmek),
3094,dolabı bozulmak,
3096,dolap beygiri gibi dönüp durmak (veya dolaşmak),
3118,dolaylı anlatmak,
3131,dolduruşa gelmek (veya kapılmak),
3132,dolduruşa getirmek,
3134,dolgu yapmak,
3143,dolma yutmak,
3146,dolup taşmak,
3153,dolmuş yapmak,
3154,dolmuşa gelmek (veya binmek),
3162,"doluya koydum almadı, boşa koydum dolmadı",
3164,doludizgin gitmek,
3193,domuz gibi,
3194,domuz gibi tıkınmak (veya yemek),
3195,domuzdan (bir) kıl çekmek (veya koparmak),
3196,domuzdan toklu çıkmaz (veya doğmaz),
3197,domuzun kuyruğunu kes yine domuz,
3209,domuzluk etmek,
3214,donuna etmek (veya kaçırmak veya doldurmak veya yapmak),
3216,don çözülmek,
3217,don kesmek,
3218,don tutmak,
3219,dona çekmek,
3220,don çekmek,
3250,don gömlek kalmak,
3256,donup kalmak,
3261,donsuzun gönlünden dokuz top bez geçer,
3270,don yağı gibi,
3271,don yağının tortusu gibi kalmak (veya oturmak),
3274,doping yapmak,
3286,dost acı söyler,
3287,"dost ağlatır, düşman güldürür",
3288,"dost başa, düşman ayağa bakar",
3289,"dost bin ise azdır, düşman bir ise çoktur",
3290,dost dostun ayıbını yüzüne söyler,
3291,dost dostun eyerlenmiş atıdır,
3292,dost edinmek (veya kazanmak),
3293,"dost ile ye, iç alışveriş etme",
3294,dost kara günde belli olur,
3295,dost olmak,
3296,dost sözü acıdır,
3297,dost tutmak,
3298,dosta düşmana karşı,
3299,dostun attığı taş baş yarmaz,
3300,dostlar alışverişte görsün (diye),
3301,dostlar başına,
3302,dostlar başından ırak,
3303,"dostlar şehit, biz gazi",
3311,"dostluk başka, alışveriş başka",
3312,dostluk etmek,
3313,"dostluk (veya muhabbet) kantarla, alışveriş (veya hesap) miskalle",
3314,dostluk kurmak,
3315,"dostluk okkayla, alışveriş dirhemle",
3318,dosya açmak (veya hazırlamak),
3319,dosyası dürülmek,
3320,dosyası kabarmak (veya kabarık olmak),
3337,doyum olmamak,
3338,doyuma ulaşmak,
3351,doyurucu bulmak,
3352,doyurucu gelmek,
3358,dozu kaçmak,(bir şeyin) 
3359,dozunu ayarlamak,
3360,dozunu kaçırmak,
3365,dökme su ile değirmen dönmez,
3370,döküp saçmak,
3378,dökülüp saçılmak,
3381,döküm (veya dökümünü) almak,
3382,döküm çıkarmak,
3396,döl almak,
3397,döl vermek,
3400,döl döş sahibi olmak,
3457,döne dolaşa,
3458,dönüp dolaşmak,
3459,dönüp geriye bakmak,
3468,dönüşü olmayan yola girmek,
3497,dört bir taraf (veya yan),
3498,dört dönmek,
3499,dört duvar arasında kalmak,
3500,dört elle sarılmak (veya yapışmak),
3501,dört göz bir evlat için,
3502,dört gözle beklemek (veya bakmak),
3503,"dört üstü, murat üstü",
3504,dört yanı deniz kesilmek,
3506,dört ayak üstüne düşmek,
3525,dörtnala kaldırmak,
3526,dörtnala kalkmak,
3533,döşeğe düşmek,
3568,döviz kaçırmak,
3571,dövme yapmak,
3602,dramatize etmek,
3613,dua etmek,
3614,duası tutmak,
3615,dua (veya duasını) almak,
3620,duba gibi,
3628,duble etmek,
3634,düçar olmak,
3636,dudak (veya dudağını) bükmek,
3637,dudak (veya dudağını) büzmek,
3638,dudak dudağa gelmek (veya kalmak),
3639,dudak ısırmak,
3640,dudak payı bırakmak,
3641,dudak sarkıtmak,
3642,dudak ucuyla söylemek,
3643,dudağını (veya dudaklarını) ısırmak,
3644,dudağının ucuna gelmek,
3663,dul kalmak,
3668,caddeyi tutmak,
3670,cadı gibi,
3674,cadılık etmek,
3677,cafcafından geçilmemek,
3685,cahil kalmak,
3686,"cahile söz (veya laf) anlatmak, deveye hendek atlatmaktan güçtür (veya zordur)",
3692,cahillik etmek,
3696,caka satmak,
3697,caka yapmak,
3698,cakasından geçilmemek,
3699,cakasını bozmak,
3708,cam gibi,
3709,cama çıkmak,
3710,camı çerçeveyi indirmek,
3712,camadan vurmak,
3713,camadanı fora etmek,
3716,"cambaz ipte, balık dipte gerek",
3733,cami ne kadar büyük olsa (veya olursa) imam gene bildiğini okur,
3734,cami yıkılmış ama mihrabı yerinde,
3735,caminin mumunu yiyen kedinin gözü kör olur,
3737,cami olmak,
3761,can alacak nokta (veya yer),
3762,can alıp can vermek,
